,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1738.9127049998237
1,FDW14,OUT017,1370.907848469733
2,NCN55,OUT010,773.273606524154
3,FDQ58,OUT017,2501.348964243012
4,FDY38,OUT027,5810.638240377161
5,FDH56,OUT046,1957.161001297219
6,FDL48,OUT018,708.923359941457
7,FDC48,OUT027,2337.966577759329
8,FDN33,OUT045,1480.4515312077078
9,FDA36,OUT017,3127.3891639499125
10,FDT44,OUT017,1957.0978892985333
11,FDQ56,OUT045,1306.7714239177012
12,NCC54,OUT019,719.2250121844411
13,FDU11,OUT049,1969.462783581991
14,DRL59,OUT013,836.7228963382668
15,FDM24,OUT049,2500.3400460895145
16,FDI57,OUT045,3232.3401766486527
17,DRC12,OUT018,2941.832468555678
18,NCM42,OUT027,2823.8441264130597
19,FDA46,OUT010,545.9965739902875
20,FDA31,OUT013,2897.4269031799577
21,NCJ31,OUT035,4022.022602365812
22,FDG52,OUT046,820.2734341260077
23,NCL19,OUT019,364.2986994243704
24,FDS10,OUT035,3207.4872991598127
25,FDX22,OUT010,621.7075324409661
26,NCF19,OUT035,832.8333668796292
27,NCE06,OUT046,2662.781571574438
28,DRC27,OUT046,3945.707726350671
29,FDE21,OUT035,1954.3410674674474
30,NCR42,OUT019,4.100448340892854
31,FDX51,OUT018,2957.023645741681
32,NCR06,OUT018,704.9120389829156
33,FDU31,OUT027,5366.818412034194
34,FDU59,OUT017,2661.2157980852166
35,FDR03,OUT027,5242.904548761321
36,FDS49,OUT027,2321.7550773891226
37,FDD48,OUT010,276.0669192992277
38,NCF18,OUT017,3228.6122839508025
39,NCD43,OUT027,2708.901309391118
40,NCD54,OUT018,2012.5330099000525
41,FDY19,OUT010,326.7797241389678
42,NCY54,OUT017,2908.1424148564292
43,NCL19,OUT018,2022.640835975331
44,FDP23,OUT010,625.659977253337
45,FDC26,OUT013,1786.325086147561
46,FDR14,OUT010,43.32091744685431
47,NCS41,OUT035,3206.2382651591274
48,FDF41,OUT035,4049.896785494876
49,FDU34,OUT046,2083.2341131471017
50,DRH11,OUT046,965.7239286455383
51,FDM03,OUT013,1708.6079407009831
52,FDS31,OUT017,3116.4299572287027
53,FDJ20,OUT017,1975.9343914038088
54,FDV44,OUT027,5042.723117119662
55,FDG02,OUT049,3225.74416645336
56,FDA09,OUT013,3017.1395122700624
57,FDT04,OUT013,811.822950974981
58,FDL58,OUT019,735.3165426840574
59,FDE52,OUT045,1417.8759682070686
60,FDW12,OUT035,2337.057274220947
